Link Dokumen,Wilayah,Tahun,Jenis Dokumen,Kerja Sama
https://drive.google.com/file/d/1_lAY5PxcFdZ581pqlwbRQlyF6JfNbe3a/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1a7LhzU82jDW5tW0erpZPpmQzuWR1D3BP/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1bBq0wYLiegTg8PNIJ0x43vKbPlrFpyr3/view?usp=sharing,LOKAL,2022,PKS,Jasa dari Mitra
https://drive.google.com/file/d/1_tiPHDi84zowEOFhmohdg7AmdEKvJUc9/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_t_U27O_E9KGPiX-CXuwtCImamTjr4mr/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1a1ID2V8GiibCXouUuCvbSMwUpdLnzL1m/view?usp=sharing,LOKAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1a-8nqjdmEOql_EZDxKJwYUW0XSDXTCsm/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_yuWNrBW4tuJi0juanTxvFcJoLogmPm0/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_yl2S9UgKQk0rNV854KIl5kBhgpGbl7R/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_yIr8qehGi4fkRxD9Leht1u2q4BhaYDo/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Sistem/Produk
https://drive.google.com/file/d/1aVRWRNFYuXf3UuaqbnT1Hbvi_adYRb0i/view?usp=sharing,LOKAL,2022,PKS,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1aV1arK1BitwfcJ5M-y-ifkO7BmE1YljU/view?usp=sharing,LOKAL,2022,PKS,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1_vHqpp4BnWyWAbIqi9m5oKAKfWnQn6-A/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_tw-8maokWw3cMGHDidbR1APRO-yqMIh/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1b04towOeJ3tIfmE-bVTTumYTZPXcbsDg/view?usp=sharing,NASIONAL,2022,PKS,Kegiatan Wirausaha-Kampus Merdeka
https://drive.google.com/file/d/1aPvlRsudEvPJ8Qp4aJe-uRtcorbJv4uZ/view?usp=sharing,LOKAL,2022,PKS,Penyewaan Aset BMN
https://drive.google.com/file/d/1b-xHgs0Y3ENgfzCnrGoJIgEujUNm4Xpu/view?usp=sharing,LOKAL,2022,PKS,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1axOqvG1fsDPckQTuKc2kuuHPT51tLJhK/view?usp=sharing,LOKAL,2022,PKS,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1aNSCVkaWMVNtWG83SlBHCAut0sqODMgG/view?usp=sharing,NASIONAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1b7P0_OSQoDPKwPHvWcn281lbxtobW2RZ/view?usp=sharing,LOKAL,2022,PKS,Pengabdian Kepada Masyarakat
https://drive.google.com/file/d/1b4mcr3diL95c4jC3cXrIR3kTfd6Qcf8U/view?usp=sharing,LOKAL,2022,PKS,Lainnya
https://drive.google.com/file/d/1UdwgX1YmMGd3tJGsPYG1uWq7ZVDgGAH9/view?usp=sharing,LOKAL,2022,PKS,Penelitian/Riset-Kampus Merdeka
https://drive.google.com/file/d/1_tG5FLko7dzCFo-JX4lvq16kHhrUkp2S/view?usp=sharing,LOKAL,2022,PSM,Penyewaan Aset BMN
https://drive.google.com/file/d/1avS2Ct4d3TeRcdqL031fvlGadjoZL5MC/view?usp=drive_link,LOKAL,2022,KONTRAK,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1at--istUgZ-kvAKKCM-4WBzk6u0h83v0/view?usp=sharing,LOKAL,2022,KONTRAK,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1a0zl6Sifx0c586GK_ioCCdMC5oLbAobv/view?usp=sharing,LOKAL,2022,KONTRAK,Pelatihan
https://drive.google.com/file/d/1alcJuAM5hAsUyF0h5-l2NtOy_F-trhwE/view?usp=sharing,NASIONAL,2022,KONTRAK,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1c3sQ3oGST5_NFHgudGt0G0-lbIvXuQtf/view?usp=sharing,INTERNASIONAL,2023,MOU,
https://drive.google.com/file/d/1cLNcgR9M2XWFZ0q0X__4NbjnD1OYwLBp/view?usp=sharing,INTERNASIONAL,2023,MOU,
https://drive.google.com/file/d/1cFnmT1FgluDyWeOjZfFbMmZIg7rpi4gC/view?usp=sharing,LOKAL,2023,MOU,
https://drive.google.com/file/d/1bVvZ1IJrZZPjTvmhz9luIeddNwrrxb0E/view?usp=sharing,LOKAL,2023,MOU,
https://drive.google.com/file/d/1bVmpzVjtv2NcZTK0moftaVArIYtvjLhT/view?usp=sharing,LOKAL,2023,MOU,
