id,provinsi,kabupaten_kota
u9m38j9l,Sulawesi Selatan,Enrekang
x3a7iwpa,Sulawesi Selatan,Luwu
ld4199dd,Sulawesi Selatan,Tana Toraja
q2737t93,Sulawesi Selatan,Luwu Utara
c6y04k43,Sulawesi Selatan,Luwu Timur
38ntc7z6,Sulawesi Selatan,Toraja Utara
7vfx6k2d,Sulawesi Selatan,Kota Makassar
x6644372,Sulawesi Selatan,Kota Pare Pare
053t6hj6,Sulawesi Selatan,Kota Palopo
dn76611s,Sulawesi Tenggara,Kolaka
i07yygph,Sulawesi Tenggara,Konawe
h44f628a,Sulawesi Tenggara,Muna
0uh118i2,Sulawesi Tenggara,Buton
t96687rj,Sulawesi Tenggara,Konawe Selatan
z0c91883,Sulawesi Tenggara,Bombana
816t6rt8,Sulawesi Tenggara,Wakatobi
kq5f678o,Sulawesi Tenggara,Kolaka Utara
4277lj2k,Sulawesi Tenggara,Konawe Utara
8x6g1xou,Sulawesi Tenggara,Kolaka Timur
mjn643a3,Sulawesi Tenggara,Konawe Kepulauan
dd095h15,Sulawesi Tenggara,Muna Barat
u9k2p6ha,Sulawesi Tenggara,Buton Tengah
b0859fb3,Sulawesi Tenggara,Buton Selatan
8544w5k6,Sulawesi Tenggara,Kota Kendari
8mi9i623,Sulawesi Tenggara,Kota Bau Bau
181wy03a,Gorontalo,Gorontalo
36ag1mtk,Gorontalo,Boalemo
6k788825,Gorontalo,Bone Bolango
o97l78z1,Gorontalo,Pahuwato
0ri82e81,Gorontalo,Gorontalo Utara
a19gxw67,Gorontalo,Kota Gorontalo
r9zmfej6,Sulawesi Barat,Pasangkayu (Mamuju Utara)
uh9br59s,Sulawesi Barat,Mamuju
3s5717r5,Sulawesi Barat,Mamasa
37hrd1w8,Sulawesi Barat,Polewali Mandar
e7rbr7l9,Sulawesi Barat,Majene
79203m7y,Sulawesi Barat,Mamuju Tengah
i0333z47,Maluku,Maluku Tengah
1305wm7d,Maluku,Maluku Tenggara
026tiy96,Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat)
6xvt5406,Maluku,Buru
nali01e2,Maluku,Seram Bagian Timur
fyu602st,Maluku,Seram Bagian Barat
69ww4q46,Maluku,Kepulauan Aru
jh72w7v8,Maluku,Maluku Barat Daya
it588bo2,Maluku,Buru Selatan
4747xva2,Maluku,Kota Ambon
e7lo7ee8,Maluku,Kota Tual
2197t2h4,Maluku Utara,Halmahera Barat
x8bh70yu,Maluku Utara,Halmahera Tengah
baa51qq5,Maluku Utara,Halmahera Utara
dy227g5n,Maluku Utara,Halmahera Selatan
o4656dxy,Maluku Utara,Kepulauan Sula
u033f87p,Maluku Utara,Halmahera Timur
r4j522z8,Maluku Utara,Pulau Morotai
lv6c2g52,Maluku Utara,Pulau Taliabu
qk7u93mf,Maluku Utara,Kota Ternate
55mk2260,Maluku Utara,Kota Tidore Kepulauan
809s561u,Papua,Jayapura
895lnv42,Papua,Kepulauan Yapen
555qdto6,Papua,Biak Numfor
ezy08hkp,Papua,Keerom
4q8r3wf8,Papua,Waropen
695ohq10,Papua,Supiori
5cu1m85a,Papua,Kota Jayapura
q59m1q47,Papua Barat,Manokwari
396x4n19,Papua Barat,Fak Fak
7261ou1e,Papua Barat,Teluk Bintuni
4kh027tp,Papua Barat,Teluk Wondama
5to1j7i7,Papua Barat,Kaimana
340stvrz,Papua Barat,Manokwari Selatan
8917udki,Papua Barat,Pegunungan Arfak
w442432y,Papua Selatan,Merauke
bb17pu77,Papua Selatan,Boven Digoel
36f7gdfq,Papua Selatan,Mappi
u093z833,Papua Selatan,Asmat
3ll6c4jt,Papua Tengah,Nabire
aw6m4q51,Papua Tengah,Puncak Jaya
q440g28q,Papua Tengah,Paniai
4arjkg8e,Papua Tengah,Mimika
20ng392u,Papua Tengah,Puncak
74mu7c3q,Papua Tengah,Dogiyai
05m1ozkh,Papua Tengah,Intan Jaya
gbvf60hw,Papua Tengah,Deiyai
48t49vzz,Papua Pegunungan,Jayawijaya
161d5479,Papua Pegunungan,Pegunungan Bintang
717g8big,Papua Pegunungan,Yahukimo
1651724y,Papua Pegunungan,Tolikara
2y1i9a65,Papua Pegunungan,Mamberamo Tengah
5irf41kw,Papua Pegunungan,Yalimo
lq772sx8,Papua Pegunungan,Lanny Jaya
ij82iuj6,Papua Pegunungan,Nduga
ujvhi144,Papua Barat Daya,Sorong
t8u21j4h,Papua Barat Daya,Sorong Selatan
6cmdaulj,Papua Barat Daya,Raja Ampat
6r82irbg,Papua Barat Daya,Tambrauw
gzt94iy1,Papua Barat Daya,Kota Sorong
